Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,
Data,5,record,timestamp,802840731,s,position_lat,406179841,semicircles,position_long,-1412193909,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,142,watts,heart_rate,124,bpm,cadence,83,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840732,s,position_lat,406179850,semicircles,position_long,-1412193912,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,141,watts,heart_rate,125,bpm,cadence,83,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840733,s,position_lat,406179860,semicircles,position_long,-1412193915,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,141,watts,heart_rate,125,bpm,cadence,85,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840734,s,position_lat,406179871,semicircles,position_long,-1412193918,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,144,watts,heart_rate,126,bpm,cadence,84,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840735,s,position_lat,406179881,semicircles,position_long,-1412193920,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,142,watts,heart_rate,126,bpm,cadence,84,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840736,s,position_lat,406179890,semicircles,position_long,-1412193923,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,139,watts,heart_rate,127,bpm,cadence,81,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840737,s,position_lat,406179900,semicircles,position_long,-1412193925,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,135,watts,heart_rate,127,bpm,cadence,80,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840738,s,position_lat,406179908,semicircles,position_long,-1412193926,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,136,watts,heart_rate,127,bpm,cadence,81,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840739,s,position_lat,406179916,semicircles,position_long,-1412193926,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,140,watts,heart_rate,128,bpm,cadence,82,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840740,s,position_lat,406179923,semicircles,position_long,-1412193925,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,143,watts,heart_rate,128,bpm,cadence,82,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840741,s,position_lat,406179929,semicircles,position_long,-1412193923,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,142,watts,heart_rate,128,bpm,cadence,82,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840742,s,position_lat,406179935,semicircles,position_long,-1412193922,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,141,watts,heart_rate,128,bpm,cadence,81,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840743,s,position_lat,406179939,semicircles,position_long,-1412193920,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,138,watts,heart_rate,128,bpm,cadence,79,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840744,s,position_lat,406179943,semicircles,position_long,-1412193919,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,135,watts,heart_rate,128,bpm,cadence,78,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840745,s,position_lat,406179945,semicircles,position_long,-1412193917,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,135,watts,heart_rate,128,bpm,cadence,78,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840746,s,position_lat,406179948,semicircles,position_long,-1412193917,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,139,watts,heart_rate,128,bpm,cadence,81,rpm,temperature,26,C,,,,,,,,,,
