Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,
Data,5,record,timestamp,802925332,s,position_lat,406179224,semicircles,position_long,-1412194398,semicircles,distance,0.32,m,altitude,58.0,m,speed,0.0,m/s,power,99,watts,heart_rate,105,bpm,cadence,54,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925333,s,position_lat,406179223,semicircles,position_long,-1412194398,semicircles,distance,0.32,m,altitude,58.0,m,speed,0.0,m/s,power,100,watts,heart_rate,105,bpm,cadence,54,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925334,s,position_lat,406179222,semicircles,position_long,-1412194398,semicircles,distance,0.33,m,altitude,58.0,m,speed,0.0,m/s,power,100,watts,heart_rate,105,bpm,cadence,54,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925335,s,position_lat,406179221,semicircles,position_long,-1412194398,semicircles,distance,0.33,m,altitude,58.0,m,speed,0.0,m/s,power,98,watts,heart_rate,105,bpm,cadence,54,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925336,s,position_lat,406179220,semicircles,position_long,-1412194398,semicircles,distance,0.34,m,altitude,58.0,m,speed,0.0,m/s,power,103,watts,heart_rate,105,bpm,cadence,55,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925337,s,position_lat,406179220,semicircles,position_long,-1412194398,semicircles,distance,0.34,m,altitude,58.0,m,speed,0.0,m/s,power,101,watts,heart_rate,105,bpm,cadence,55,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925338,s,position_lat,406179219,semicircles,position_long,-1412194398,semicircles,distance,0.34,m,altitude,58.0,m,speed,0.0,m/s,power,100,watts,heart_rate,106,bpm,cadence,54,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925339,s,position_lat,406179219,semicircles,position_long,-1412194398,semicircles,distance,0.34,m,altitude,58.0,m,speed,0.0,m/s,power,99,watts,heart_rate,106,bpm,cadence,54,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925340,s,position_lat,406179219,semicircles,position_long,-1412194398,semicircles,distance,0.34,m,altitude,58.0,m,speed,0.0,m/s,power,98,watts,heart_rate,106,bpm,cadence,54,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925341,s,position_lat,406179218,semicircles,position_long,-1412194398,semicircles,distance,0.35,m,altitude,58.0,m,speed,0.0,m/s,power,97,watts,heart_rate,106,bpm,cadence,53,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925342,s,position_lat,406179218,semicircles,position_long,-1412194398,semicircles,distance,0.35,m,altitude,58.0,m,speed,0.0,m/s,power,98,watts,heart_rate,107,bpm,cadence,53,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925343,s,position_lat,406179218,semicircles,position_long,-1412194398,semicircles,distance,0.35,m,altitude,58.0,m,speed,0.0,m/s,power,101,watts,heart_rate,107,bpm,cadence,54,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925344,s,position_lat,406179218,semicircles,position_long,-1412194398,semicircles,distance,0.35,m,altitude,58.0,m,speed,0.0,m/s,power,102,watts,heart_rate,107,bpm,cadence,54,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925345,s,position_lat,406179218,semicircles,position_long,-1412194398,semicircles,distance,0.36,m,altitude,58.0,m,speed,0.0,m/s,power,100,watts,heart_rate,107,bpm,cadence,53,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925346,s,position_lat,406179218,semicircles,position_long,-1412194397,semicircles,distance,0.36,m,altitude,58.0,m,speed,0.0,m/s,power,102,watts,heart_rate,108,bpm,cadence,54,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925348,s,position_lat,406179217,semicircles,position_long,-1412194397,semicircles,distance,0.36,m,altitude,58.0,m,speed,0.0,m/s,power,103,watts,heart_rate,108,bpm,cadence,55,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925348,s,position_lat,406179218,semicircles,position_long,-1412194397,semicircles,distance,0.36,m,altitude,58.0,m,speed,0.0,m/s,power,103,watts,heart_rate,109,bpm,cadence,56,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925349,s,position_lat,406179217,semicircles,position_long,-1412194397,semicircles,distance,0.36,m,altitude,58.0,m,speed,0.0,m/s,power,101,watts,heart_rate,109,bpm,cadence,55,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925350,s,position_lat,406179217,semicircles,position_long,-1412194397,semicircles,distance,0.36,m,altitude,58.0,m,speed,0.0,m/s,power,99,watts,heart_rate,110,bpm,cadence,54,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925352,s,position_lat,406179216,semicircles,position_long,-1412194398,semicircles,distance,0.37,m,altitude,58.0,m,speed,0.0,m/s,power,98,watts,heart_rate,110,bpm,cadence,54,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925352,s,position_lat,406179217,semicircles,position_long,-1412194398,semicircles,distance,0.37,m,altitude,58.0,m,speed,0.0,m/s,power,97,watts,heart_rate,109,bpm,cadence,54,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925353,s,position_lat,406179217,semicircles,position_long,-1412194398,semicircles,distance,0.37,m,altitude,58.0,m,speed,0.0,m/s,power,97,watts,heart_rate,109,bpm,cadence,53,rpm,temperature,26,C,,,,,,,,,,
